"customer_identifier","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","churn"
"967f6721",3,"Saturday",32,18,"Web","D - 100L",5,0
"201ad239",16,"Saturday",140,16,"Web","C - 100L",2,0
"f221f02b",20,"Thursday",57,29,"Back Office","F -100L",5,1
"5bb0a9f6",14,"Saturday",90,39,"Web","M - 200L",2,1
"6081cbd0",14,"Saturday",1,22,"Web","I - 100L",4,1
"efb40578",13,"Monday",129,23,"Web","D - 100L",2,0
"5add17d2",5,"Thursday",2,38,"Back Office","M - 200L",2,0
"45ba7a55",13,"Monday",1,21,"Web","G - 100L",1,0
"5f5916e1",10,"Wednesday",0,55,"Back Office","Q - 300L",2,0
"9a7ef465",16,"Saturday",11,47,"Back Office","O - 300L",4,1
"3beb19f4",25,"Thursday",1,60,"Web","R - 300L",1,0
"4e1e4995",1,"Saturday",8,50,"Back Office","R - 300L",4,1
"13c9a31b",31,"Tuesday",56,66,"Web","O - 300L",4,0
"71ccd484",9,"Monday",52,27,"Web","D - 100L",6,0
"4107d0ff",5,"Wednesday",1,68,"Web","R - 300L",5,0
"e63b9a03",25,"Saturday",3,53,"Web","R - 300L",2,0
"5f5916e1",10,"Wednesday",55,28,"Back Office","D - 100L",2,0
"853bb54e",15,"Saturday",54,26,"Back Office","C - 100L",2,0
"3fa68b8f",18,"Saturday",55,46,"Web","K - 200L",3,1
"a9d6c8a6",20,"Tuesday",110,20,"Web","G - 100L",2,0
"c9fdd094",16,"Saturday",8,26,"Back Office","C - 100L",3,0
"a933e995",18,"Saturday",11,25,"Back Office","D - 100L",2,0
"b98c72ea",10,"Thursday",4,64,"Web","P - 300L",2,1
"487e9a87",20,"Tuesday",1,72,"Web","R - 300L",1,0
"04618960",7,"Monday",18,25,"Web","D - 100L",2,0
"1293d8f0",12,"Thursday",19,48,"Web","O - 300L",4,0
"0f412b3a",14,"Saturday",0,68,"Web","R - 300L",2,0
"0e5cca63",25,"Saturday",1,44,"Back Office","L2 - 200L",11,1
"90f6612a",3,"Thursday",0,40,"Back Office","L1 - 200L",2,0
"eb1ca7a0",16,"Saturday",33,26,"Back Office","C - 100L",2,0
"853bb54e",15,"Saturday",44,53,"Back Office","R - 300L",5,0
"e19f12bf",3,"Thursday",50,21,"Web","I - 100L",2,1
"27613bab",17,"Saturday",45,66,"Web","O - 300L",4,0
"bed5cb57",27,"Thursday",1,70,"Web","R - 300L",1,0
"6d47f039",29,"Monday",150,16,"Web","C - 100L",3,0
"a2fdbb50",19,"Sunday",0,44,"Web","K - 200L",2,0
NA,1,"Saturday",0,25,"Box Office","D - 100L",6,1
"4e10ac30",16,"Thursday",0,17,"Web","D - 100L",3,0
"1a75485b",25,"Thursday",9,47,"Web","P - 300L",5,0
"0c1afdb5",25,"Thursday",225,23,"Web","G - 100L",2,1
NA,3,"Sunday",2,48,"Box Office","O - 300L",2,1
"df9227a0",28,"Thursday",3,65,"Back Office","N - 300L",3,0
"975d564b",3,"Saturday",36,37,"Web","M - 200L",2,0
"6ff35556",20,"Thursday",1,62,"Web","P - 300L",4,0
"2d734741",11,"Tuesday",0,24,"Back Office","D - 100L",28,1
"6a4b413a",10,"Thursday",1,52,"Web","Q - 300L",2,0
"853bb54e",15,"Saturday",75,58,"Back Office","R - 300L",3,0
"5f5916e1",10,"Wednesday",79,61,"Back Office","R - 300L",2,0
"23fd353f",31,"Tuesday",1,31,"Web","H - 100L",5,0
"eb269ad3",3,"Tuesday",0,65,"Web","O - 300L",2,0
"9a7ef465",26,"Tuesday",0,21,"Back Office","I - 100L",4,1
"a8ac341d",15,"Friday",0,62,"Web","O - 300L",3,0
"ed5e720d",22,"Thursday",16,18,"Web","D - 100L",2,0
"64c4c4dd",11,"Tuesday",50,17,"Box Office","D - 100L",4,0
"f782ca44",15,"Friday",7,77,"Web","Q - 300L",3,0
"0f37ca51",6,"Tuesday",30,32,"Web","F -100L",2,0
"3e12f4db",27,"Saturday",22,26,"Web","C - 100L",1,0
"88a49506",3,"Thursday",96,41,"Web","K - 200L",2,0
"97d22441",10,"Thursday",1,24,"Web","D - 100L",4,0
"474153b5",17,"Tuesday",69,64,"Web","P - 300L",1,1
"a4ed05af",9,"Monday",61,26,"Web","C - 100L",3,0
"eede9bcc",5,"Thursday",55,27,"Back Office","D - 100L",2,0
NA,15,"Thursday",0,40,"Box Office","L1 - 200L",1,1
"4faffce7",31,"Tuesday",13,22,"Web","G - 100L",4,0
"e9f01afe",11,"Saturday",5,16,"Web","C - 100L",3,1
"eb5b6119",20,"Tuesday",18,26,"Web","C - 100L",2,0
NA,9,"Thursday",41,21,"Box Office","I - 100L",2,1
"f2647d0d",27,"Monday",12,47,"Web","P - 300L",5,0
"b3ba8a32",19,"Thursday",10,29,"Back Office","F -100L",3,1
"b3ba8a32",20,"Sunday",4,47,"Back Office","O - 300L",1,1
